Year,Ceremony,Award,Name,Film
2013,86,Best Picture,12 Years a Slave,"Brad Pitt, Dede Gardner, Jeremy Kleiner, Steve McQueen and Anthony Katagas, Producers"
2013,86,Production Design,The Great Gatsby,Production Design: Catherine Martin; Set Decoration: Beverley Dunn
2013,86,Short Film (Animated),Mr. Hublot,Laurent Witz and Alexandre Espigares
2013,86,Short Film (Live Action),Helium,Anders Walter and Kim Magnusson
2013,86,Sound Editing,Gravity,Glenn Freemantle
2013,86,Sound Mixing,Gravity,"Skip Lievsay, Niv Adiri, Christopher Benstead and Chris Munro"
2013,86,Visual Effects,Gravity,"Tim Webber, Chris Lawrence, David Shirk and Neil Corbould"
2013,86,Writing (Adapted Screenplay),12 Years a Slave,Screenplay by John Ridley
2013,86,Writing (Original Screenplay),Her,Written by Spike Jonze
2014,87,Actor in a Leading Role,Eddie Redmayne,The Theory of Everything
2014,87,Actor in a Supporting Role,J.K. Simmons,Whiplash
2014,87,Actress in a Leading Role,Julianne Moore,Still Alice
2014,87,Actress in a Supporting Role,Patricia Arquette,Boyhood
2014,87,Animated Feature Film,Big Hero 6,"Don Hall, Chris Williams and Roy Conli"
2014,87,Cinematography,Birdman or (The Unexpected Virtue of Ignorance),Emmanuel Lubezki
2014,87,Costume Design,The Grand Budapest Hotel,Milena Canonero
2014,87,Directing,Birdman or (The Unexpected Virtue of Ignorance),Alejandro G. Iñárritu
2014,87,Documentary (Feature),CitizenFour,"Laura Poitras, Mathilde Bonnefoy and Dirk Wilutzky"
2014,87,Documentary (Short Subject),Crisis Hotline: Veterans Press 1,Ellen Goosenberg Kent and Dana Perry
2014,87,Film Editing,Whiplash,Tom Cross
2014,87,Foreign Language Film,Ida,Poland
2014,87,Makeup and Hairstyling,The Grand Budapest Hotel,Frances Hannon and Mark Coulier
2014,87,Music (Original Score),The Grand Budapest Hotel,Alexandre Desplat
2014,87,Music (Original Song),"""Glory"" from Selma",Music and Lyric by John Stephens and Lonnie Lynn
2014,87,Best Picture,Birdman or (The Unexpected Virtue of Ignorance),"Alejandro G. Iñárritu, John Lesher and James W. Skotchdopole, Producers"
2014,87,Production Design,The Grand Budapest Hotel,Production Design: Adam Stockhausen; Set Decoration: Anna Pinnock
2014,87,Short Film (Animated),Feast,Patrick Osborne and Kristina Reed
2014,87,Short Film (Live Action),The Phone Call,Mat Kirkby and James Lucas
2014,87,Sound Editing,American Sniper,Alan Robert Murray and Bub Asman
2014,87,Sound Mixing,Whiplash,"Craig Mann, Ben Wilkins and Thomas Curley"
2014,87,Visual Effects,Interstellar,"Paul Franklin, Andrew Lockley, Ian Hunter and Scott Fisher"
2014,87,Writing (Adapted Screenplay),The Imitation Game,Written by Graham Moore
2014,87,Writing (Original Screenplay),Birdman or (The Unexpected Virtue of Ignorance),"Written by Alejandro G. Iñárritu, Nicolás Giacobone, Alexander Dinelaris, Jr. & Armando Bo"
2015,88,Actor in a Leading Role,Leonardo DiCaprio,The Revenant
2015,88,Actor in a Supporting Role,Mark Rylance,Bridge of Spies
2015,88,Actress in a Leading Role,Brie Larson,Room
2015,88,Actress in a Supporting Role,Alicia Vikander,The Danish Girl
2015,88,Animated Feature Film,Inside Out,Pete Docter and Jonas Rivera
2015,88,Costume Design,Mad Max: Fury Road,Jenny Beavan
2015,88,Directing,The Revenant,Alejandro G. Iñárritu
2015,88,Documentary (Feature),Amy,Asif Kapadia and James Gay-Rees
2015,88,Documentary (Short Subject),A Girl in the River: The Price of Forgiveness,Sharmeen Obaid-Chinoy
2015,88,Film Editing,Mad Max: Fury Road,Margaret Sixel
2015,88,Foreign Language Film,Son of Saul,Hungary
2015,88,Makeup and Hairstyling,Mad Max: Fury Road,"Lesley Vanderwalt, Elka Wardega and Damian Martin"
2015,88,Music (Original Score),The Hateful Eight,Ennio Morricone
2015,88,Music (Original Song),Writing's On The Wall from Spectre,Music and Lyric by Jimmy Napes and Sam Smith
2015,88,Best Picture,Spotlight,"Michael Sugar, Steve Golin, Nicole Rocklin and Blye Pagon Faust, Producers"
2015,88,Production Design,Mad Max: Fury Road,Production Design: Colin Gibson; Set Decoration: Lisa Thompson
2015,88,Short Film (Animated),Bear Story,Gabriel Osorio and Pato Escala
2015,88,Short Film (Live Action),Stutterer,Benjamin Cleary and Serena Armitage
2015,88,Sound Editing,Mad Max: Fury Road,Mark Mangini and David White
2015,88,Sound Mixing,Mad Max: Fury Road,"Chris Jenkins, Gregg Rudloff and Ben Osmo"
2015,88,Visual Effects,Ex Machina,"Andrew Whitehurst, Paul Norris, Mark Ardington and Sara Bennett"
2015,88,Writing (Adapted Screenplay),The Big Short,Screenplay by Charles Randolph and Adam McKay
2015,88,Writing (Original Screenplay),Spotlight,Written by Josh Singer & Tom McCarthy
