Year,Ceremony,Award,Name,Film
1967,40,Short Subject (Cartoon),The Box,"Fred Wolf, Producer"
1967,40,Short Subject (Live Action),A Place to Stand,"Christopher Chapman, Producer"
1967,40,Sound,In the Heat of the Night,Samuel Goldwyn Studio Sound Department
1967,40,Sound Effects,The Dirty Dozen,John Poyner
1967,40,Special Visual Effects,Doctor Dolittle,L. B. Abbott
1967,40,"Writing (Screenplay, Based on Material from Another Medium)",In the Heat of the Night,Stirling Silliphant
1967,40,"Writing (Story and Screenplay, Written Directly for the Screen)",Guess Who's Coming to Dinner,William Rose
1968,41,Actor,Cliff Robertson,Charly
1968,41,Actor in a Supporting Role,Jack Albertson,The Subject Was Roses
1968,41,Actress,Katharine Hepburn,The Lion in Winter
1968,41,Actress,Barbra Streisand,Funny Girl
1968,41,Actress in a Supporting Role,Ruth Gordon,Rosemary's Baby
